First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL,Parcel Number,Appraised Value,Delinquent Taxes,Delinquent Amount,Homestead Exemption,Out-of-State Owner,Neighborhood,Violation Status,Violation Description,Violation Severity
,,,,OH,,11108 Mount Overlook,Cleveland,OH,44106,Condemned Property,CONDEMN,10/01/2025,CONDEMN-121-33-039,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,121-33-039,,No,,No,No,Buckeye-Woodhill,Condemned,,
,,,,OH,,14105 Castalia Ave,Cleveland,OH,44110,Condemned Property,CONDEMN,09/25/2025,CONDEMN-111-27-109,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,111-27-109,,No,,No,No,Collinwood-Nottingham,Condemned,,
,,,,OH,,12499 Corlett Ave,Cleveland,OH,44105,Condemned Property,CONDEMN,09/25/2025,CONDEMN-137-16-090,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,137-16-090,,No,,No,No,Union-Miles,Condemned,,
,,,,OH,,2154 W 100Th St,Cleveland,OH,44102,Condemned Property,CONDEMN,09/24/2025,CONDEMN-005-22-074,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,005-22-074,,No,,No,No,Cudell,Condemned,,
,,,,OH,,1142 E 66Th St,Cleveland,OH,44103,Condemned Property,CONDEMN,09/24/2025,CONDEMN-105-25-061,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,105-25-061,,No,,No,No,St.Clair-Superior,Condemned,,
,,,,OH,,2257 E 81St St,Cleveland,OH,44103,Condemned Property,CONDEMN,09/23/2025,CONDEMN-119-27-031,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,119-27-031,,No,,No,No,Fairfax,Condemned,,
,,,,OH,,5996 Engel Ave,Cleveland,OH,44127,Condemned Property,CONDEMN,09/23/2025,CONDEMN-125-27-121,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,125-27-121,,No,,No,No,Broadway-Slavic Village,Condemned,,
,,,,OH,,1476 W 110Th St,Cleveland,OH,44102,Condemned Property,CONDEMN,09/22/2025,CONDEMN-001-25-081,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,001-25-081,,No,,No,No,Edgewater,Condemned,,
,,,,OH,,12610 Kinsman Rd Upper,Cleveland,OH,44120,Condemned Property,CONDEMN,09/19/2025,CONDEMN-130-23-003,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,130-23-003,,No,,No,No,Mount Pleasant,Condemned,,
,,,,OH,,779 E 91St St,Cleveland,OH,44108,Condemned Property,CONDEMN,09/17/2025,CONDEMN-108-06-075,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,108-06-075,,No,,No,No,Glenville,Condemned,,
,,,,OH,,6806 Bonna Ave,Cleveland,OH,44103,Condemned Property,CONDEMN,09/16/2025,CONDEMN-105-22-115,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,105-22-115,,No,,No,No,St.Clair-Superior,Condemned,,
,,,,OH,,9107 Empire Ave,Cleveland,OH,44108,Condemned Property,CONDEMN,09/16/2025,CONDEMN-108-19-053,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,108-19-053,,No,,No,No,Glenville,Condemned,,
,,,,OH,,10715 Mount Carmel Rd,Cleveland,OH,44104,Condemned Property,CONDEMN,09/16/2025,CONDEMN-121-32-012,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,121-32-012,,No,,No,No,Buckeye-Woodhill,Condemned,,
,,,,OH,,16700 Westfield Ave,Cleveland,OH,44110,Condemned Property,CONDEMN,09/11/2025,CONDEMN-116-22-043,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,116-22-043,,No,,No,No,Collinwood-Nottingham,Condemned,,
,,,,OH,,9612 Preston Ave,Cleveland,OH,44102,Condemned Property,CONDEMN,09/10/2025,CONDEMN-453-02-015,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,453-02-015,,No,,No,No,,Condemned,,
,,,,OH,,12707 Harvard Ave,Cleveland,OH,44105,Condemned Property,CONDEMN,09/09/2025,CONDEMN-138-04-048,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,138-04-048,,No,,No,No,Union-Miles,Condemned,,
,,,,OH,,2215 E 79 Down,Cleveland,OH,44109,Condemned Property,CONDEMN,09/09/2025,CONDEMN-119-28-006,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,119-28-006,,No,,No,No,Fairfax,Condemned,,
,,,,OH,,3028 Victor Ave,Cleveland,OH,44127,Condemned Property,CONDEMN,09/09/2025,CONDEMN-123-20-018,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,123-20-018,,No,,No,No,Broadway-Slavic Village,Condemned,,
,,,,OH,,2300 Roanoke Ave,Cleveland,OH,44109,Condemned Property,CONDEMN,09/08/2025,CONDEMN-014-21-115,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,014-21-115,,No,,No,No,Old Brooklyn,Condemned,,
,,,,OH,,5605 Bonna Ave,Cleveland,OH,44103,Condemned Property,CONDEMN,09/08/2025,CONDEMN-104-12-035,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,104-12-035,,No,,No,No,St.Clair-Superior,Condemned,,
